# tronko-assign memory log v1.0
wall_time	phase	rss_mb	vm_mb	peak_rss_mb	cpu_user	cpu_sys	extra_info
0.001	STARTUP	2.4	4.3	2.4	0.000	0.001	
0.017	TREE_ALLOCATED	52.7	54.6	52.7	0.008	0.009	tree=0,nodes=2931,bases=316
0.290	TREE_LOADED	52.7	54.6	52.7	0.269	0.019	tree=0
0.290	REFERENCE_LOADED	52.7	54.6	52.7	0.269	0.019	trees=1
0.356	BWA_INDEX	53.7	55.3	56.7	0.319	0.021	
0.358	THREADS_ALLOCATED	62.8	64.5	62.8	0.320	0.022	threads=1
0.358	BATCH_START	62.8	64.5	62.8	0.320	0.022	batch=1
0.358	BATCH_LOADED	62.8	64.5	62.8	0.320	0.022	batch=1,reads=10
0.407	BATCH_COMPLETE	64.8	280.6	64.8	0.368	0.022	batch=1
0.407	BATCH_START	64.8	280.6	64.8	0.368	0.022	batch=2
0.000	FINAL	64.6	280.5	64.6	0.378	0.022	
